pressure
x	y	pressure
30.625	1.5	532.500069141872
30.875	1.5	532.347125906839
31.125	1.5	532.194069467809
31.375	1.5	532.040904521767
31.625	1.5	531.887635804616
31.875	1.5	531.734268075581
32.125	1.5	531.580806088521
32.375	1.5	531.427254556863
32.625	1.5	531.273618133688
32.875	1.5	531.119901394668
33.125	1.5	530.966108728949
33.375	1.5	530.812244204269
33.625	1.5	530.658311910155
33.875	1.5	530.504316504762
34.125	1.5	530.350261364296
34.375	1.5	530.196145456093
34.625	1.5	530.041972357518
34.875	1.5	529.887767157723
35.125	1.5	529.733532092008
35.375	1.5	529.579155564467
35.625	1.5	529.424628258978
35.875	1.5	529.270536222742
36.125	1.5	529.116983034046
36.375	1.5	528.961082907073
36.625	1.5	528.801570456525
36.875	1.5	528.65537872531
37.125	1.5	528.520056424706
37.375	1.5	528.363366315308
0.125	2.5	541.511264406537
0.375	2.5	541.475024221701
0.625	2.5	541.445011532084
0.875	2.5	541.413940103853
1.125	2.5	541.383060166236
1.375	2.5	541.352157364818
1.625	2.5	541.321268670534
1.875	2.5	541.290387977186
2.125	2.5	541.259516614133
2.375	2.5	541.228654681213
2.625	2.5	541.197802537204
2.875	2.5	541.166960546321
3.125	2.5	541.136129123514
3.375	2.5	541.105308728546
3.625	2.5	541.074499869335
3.875	2.5	541.043703104923
4.125	2.5	541.012919050135
4.375	2.5	540.982148381024
4.625	2.5	540.951391839377
4.875	2.5	540.920650234063
5.125	2.5	540.889924438283
5.375	2.5	540.859215385
5.625	2.5	540.828524066689
5.875	2.5	540.797851547628
6.125	2.5	540.767198994404
6.375	2.5	540.736567721687
6.625	2.5	540.705959237627
6.875	2.5	540.675375261865
7.125	2.5	540.64481768597
7.375	2.5	540.614288464819
7.625	2.5	540.583789450928
