pressure
x	y	pressure
18.125	1.5	-3.48784930183489e+17
18.375	1.5	-3.43894544489447e+17
18.625	1.5	-3.39023267522187e+17
18.875	1.5	-3.34170418009154e+17
19.125	1.5	-3.29335342707328e+17
19.375	1.5	-3.24517414939743e+17
19.625	1.5	-3.19716033218697e+17
19.875	1.5	-3.14930619938023e+17
20.125	1.5	-3.10160620193226e+17
20.375	1.5	-3.05405500633272e+17
20.625	1.5	-3.00664748420087e+17
20.875	1.5	-2.9593787020613e+17
21.125	1.5	-2.91224391244279e+17
21.375	1.5	-2.86523854479813e+17
21.625	1.5	-2.81835819705051e+17
21.875	1.5	-2.77159862798694e+17
22.125	1.5	-2.72495574968336e+17
22.375	1.5	-2.67842562067803e+17
22.625	1.5	-2.63200443876247e+17
22.875	1.5	-2.58568853511711e+17
23.125	1.5	-2.53947436818927e+17
23.375	1.5	-2.4933585176991e+17
23.625	1.5	-2.4473376795294e+17
23.875	1.5	-2.4014086602289e+17
24.125	1.5	-2.35556837254828e+17
24.375	1.5	-2.30981383047503e+17
24.625	1.5	-2.26414214471211e+17
24.875	1.5	-2.21855051866139e+17
25.125	1.5	-2.1730362440192e+17
25.375	1.5	-2.12759669730682e+17
